gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3308036221	8016518a-f762-11e1-a439-00145eb45e9a	1c2120a41bf1b1fb846fa632a3a58443	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	Tierra larga, limpites con San Juan del Estado, San Pablo Huitzo	Oaxaca	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	17.36679	-96.81693	90.0		1913.0				2004-10-16	16	10	2004	2766741	2766741	PRESERVED_SPECIMEN	IBUNAM	MEXU	1180278		Cutberto Ángel Cruz Espinosa		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Cutberto Ángel Cruz Espinosa; Ana B. Cruz M.; Rodrigo López O.			2024-01-25T09:46:20.714Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3308020346	8016518a-f762-11e1-a439-00145eb45e9a	b606bc979ce55395eab34be570d7b2a6	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	DTO. IXTLÁN. Ladera sobre el río, al E de Yahuiche	Oaxaca	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	17.29917	-96.48111	90.0		1800.0				2000-12-30	30	12	2000	2766741	2766741	PRESERVED_SPECIMEN	IBUNAM	MEXU	1055932		Abisaí García Mendoza		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Abisaí García Mendoza; F. Martínez			2024-01-25T09:50:59.604Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3308016475	8016518a-f762-11e1-a439-00145eb45e9a	e10c4702a8e6ca7656eecedfad7f93a3	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	TEPOSCOLULA. Alrededores de Anama, 3 km al S de San Vicente Nuñú.	Oaxaca	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	17.406069	-97.443822			2500.0				1990-10-25	25	10	1990	2766741	2766741	PRESERVED_SPECIMEN	IBUNAM	MEXU	1059001		Abisaí García Mendoza		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Abisaí García Mendoza			2024-01-25T09:51:21.844Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3308006812	8016518a-f762-11e1-a439-00145eb45e9a	26dddf2b6e4e4e43f00a01cc9c575f02	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	CUICATLÁN. Cerro del Cosahuico, San José del Chilar.	Oaxaca	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	17.690278	-95.973055	90.0		875.0				2001-04-17	17	4	2001	2766741	2766741	PRESERVED_SPECIMEN	IBUNAM	MEXU	1041575		Cutberto Ángel Cruz Espinosa		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Cutberto Ángel Cruz Espinosa; Eliseo San Pedro			2024-01-25T09:49:09.370Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3308003564	8016518a-f762-11e1-a439-00145eb45e9a	3453e2667d50af17ad32c55a4a0e0503	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	5 km al S de Tehuacán, carretera a Zapotitlán	Puebla	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862									1995-11-10	10	11	1995	2766741	2766741	PRESERVED_SPECIMEN	IBUNAM	MEXU	1020217		Abisaí García Mendoza		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Abisaí García Mendoza			2024-01-25T09:49:15.281Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3307998156	8016518a-f762-11e1-a439-00145eb45e9a	19f2a75d110ac999ea47960ad998a35d	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	Dto. Huajuapan	Coahuila de zaragoza	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862					1800.0				1993-08-13	13	8	1993	2766741	2766741	PRESERVED_SPECIMEN	IBUNAM	MEXU	1029150		Abisaí García Mendoza		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Abisai Garcia Mendoza; F. Palma			2024-01-25T09:46:18.654Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3307990084	8016518a-f762-11e1-a439-00145eb45e9a	d59fa9b43800187d2c7831e95d759cec	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	LoamaColorada, cerro a 18 km de la desviación y aun lado de la carr. Cuanocpala-Oaxaca	Puebla	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862					2286.0				2001-07-09	9	7	2001	2766741	2766741	PRESERVED_SPECIMEN	IBUNAM	MEXU	1055857		Abisaí García Mendoza		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Abisaí García Mendoza; S. Franco; A. Castañeda			2024-01-25T09:48:13.207Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3307985310	8016518a-f762-11e1-a439-00145eb45e9a	8ff77c3ba8a177d04d08dcd2d6d875c2	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	Dto. Etla. 1 Km al N de la desviación a las Sedas, carr. a Cuicatlán	Oaxaca	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862					1850.0				1996-01-26	26	1	1996	2766741	2766741	PRESERVED_SPECIMEN	IBUNAM	MEXU	1029130		Abisaí García Mendoza		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Abisaí García Mendoza			2024-01-25T09:47:35.806Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3307980000	8016518a-f762-11e1-a439-00145eb45e9a	e135f234f9736f7a13ca7434d999bbb5	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	A 5 km al S de Puerto Las Palmas, carr. a Acatlán	Puebla	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	18.5	-98.4	90.0		1280.0				1999-08-12	12	8	1999	2766741	2766741	PRESERVED_SPECIMEN	IBUNAM	MEXU	1030182		Abisaí García Mendoza		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Abisaí García Mendoza; Sonia Franco; Alejandro Castañeda Rojas			2024-01-25T09:48:25.933Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3307979153	8016518a-f762-11e1-a439-00145eb45e9a	b3cc4095dbdbe218f69bd8e3f456ff41	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	Paraje Agua Chiquita, terrenos propiedad del Sr. Anacleto Ramos, en la cercanía al balneario Los Ahuehuetes del Sr. Bonifacio Contreras González, márgen del Río Axamilpan	Puebla	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862					1660.0				1998-06-28	28	6	1998	2766741	2766741	PRESERVED_SPECIMEN	IBUNAM	MEXU	980376		Francisco Ramos Marchena		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Enrique Guízar Nolazco; Germán Herrera			2024-01-25T09:50:58.777Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
